id, x, y, w, h
0, 1.258, -24.854284301757815, 19.516000000000002, 25.398284301757815
1, 2.346, -24.276000000000003, 15.3, 24.276000000000003
2, 1.2240000000000002, -17.986, 16.263332641601565, 18.36
3, 0.30600000000000005, -22.848000000000003, 9.384, 22.848000000000003
4, 1.2240000000000002, -17.986, 15.98, 18.36
5, 2.176, -24.276000000000003, 14.552000000000001, 24.276000000000003
6, 0, 0, 9.452, 0
7, 2.652, -24.276000000000003, 16.082, 24.276000000000003
8, 2.346, -24.276000000000003, 2.8900000000000006, 24.276000000000003
9, 1.054, -17.986, 14.926, 18.36
10, 0.30600000000000005, -22.848000000000003, 9.384, 22.848000000000003
